X--_uc251498ff9 1::[V(_uc263a294881)],Y--_uc251498ff9 1::[V(_uc263a294881)],,X--_uc251498ff9 2::[V(_uc263a294882)],Y--_uc251498ff9 2::[V(_uc263a294882)]
0.00127274,0.0375009,,0.00127274,-2.38744e-05
0.00128274,0.0374999,,0.00128274,-2.38026e-05
0.00129274,0.037499,,0.00129274,-2.37308e-05
0.00130274,0.037498,,0.00130274,-2.36591e-05
0.00131274,0.0374971,,0.00131274,-2.35875e-05
0.00132274,0.0374961,,0.00132274,-2.35158e-05
0.00133274,0.0374952,,0.00133274,-2.34443e-05
0.00134274,0.0374942,,0.00134274,-2.33728e-05
0.00135274,0.0374933,,0.00135274,-2.33014e-05
0.00136274,0.0374923,,0.00136274,-2.323e-05
0.00137274,0.0374914,,0.00137274,-2.31587e-05
0.00138274,0.0374904,,0.00138274,-2.30874e-05
0.00139274,0.0374895,,0.00139274,-2.30162e-05
0.00140274,0.0374885,,0.00140274,-2.29451e-05
0.00141274,0.0374876,,0.00141274,-2.2874e-05
0.00142274,0.0374866,,0.00142274,-2.2803e-05
0.00143274,0.0374857,,0.00143274,-2.2732e-05
0.00144274,0.0374848,,0.00144274,-2.26611e-05
0.00145274,0.0374839,,0.00145274,-2.25902e-05
0.00146274,0.0374829,,0.00146274,-2.25194e-05
0.00147274,0.037482,,0.00147274,-2.24486e-05
0.00148274,0.037481,,0.00148274,-2.23779e-05
0.00149274,0.0374801,,0.00149274,-2.23073e-05
0.00150274,0.0374791,,0.00150274,-2.22367e-05
0.00151274,0.0374782,,0.00151274,-2.21661e-05
0.00152274,0.0374773,,0.00152274,-2.20956e-05
0.00153274,0.0374764,,0.00153274,-2.20251e-05
0.00154274,0.0374754,,0.00154274,-2.19547e-05
0.00155274,0.0374745,,0.00155274,-2.18843e-05
0.00156274,0.0374735,,0.00156274,-2.1814e-05
0.00157274,0.0374727,,0.00157274,-2.17437e-05
0.00158274,0.0374717,,0.00158274,-2.16735e-05
0.00159274,0.0374708,,0.00159274,-2.16033e-05
0.00160274,0.0374698,,0.00160274,-2.15331e-05
0.00161274,0.0374689,,0.00161274,-2.1463e-05
0.00162274,0.037468,,0.00162274,-2.13928e-05
0.00163274,0.0374671,,0.00163274,-2.13227e-05
0.00164274,0.0374661,,0.00164274,-2.12526e-05
0.00165274,0.0374653,,0.00165274,-2.11825e-05
0.00166274,0.0374643,,0.00166274,-2.11124e-05
0.00167274,0.0374634,,0.00167274,-2.10423e-05
0.00168274,0.0374625,,0.00168274,-2.09722e-05
0.00169274,0.0374616,,0.00169274,-2.0902e-05
0.00170274,0.0374606,,0.00170274,-2.08317e-05
0.00171274,0.0374597,,0.00171274,-2.07613e-05
0.00172274,0.0374588,,0.00172274,-2.06909e-05
0.00173274,0.0374579,,0.00173274,-2.06203e-05
0.00174274,0.037457,,0.00174274,-2.05495e-05
0.00175274,0.0374561,,0.00175274,-2.04785e-05
0.00176274,0.0374551,,0.00176274,-2.04073e-05
0.00177274,0.0374543,,0.00177274,-2.03358e-05
0.00178274,0.0374533,,0.00178274,-2.02639e-05
0.00179274,0.0374524,,0.00179274,-2.01916e-05
0.00180274,0.0374515,,0.00180274,-2.01187e-05
0.00181274,0.0374506,,0.00181274,-2.00452e-05
0.00182274,0.0374497,,0.00182274,-1.99709e-05
0.00183274,0.0374488,,0.00183274,-1.98958e-05
0.00184274,0.0374479,,0.00184274,-1.98196e-05
0.00185274,0.037447,,0.00185274,-1.97422e-05
0.00186274,0.0374461,,0.00186274,-1.96634e-05
0.00187274,0.0374452,,0.00187274,-1.95828e-05
0.00188274,0.0374443,,0.00188274,-1.95002e-05
0.00189274,0.0374434,,0.00189274,-1.94153e-05
0.00190274,0.0374425,,0.00190274,-1.93276e-05
0.00191274,0.0374416,,0.00191274,-1.92367e-05
0.00192274,0.0374407,,0.00192274,-1.9142e-05
0.00193274,0.0374398,,0.00193274,-1.90428e-05
0.00194274,0.0374389,,0.00194274,-1.89384e-05
0.00195274,0.037438,,0.00195274,-1.88279e-05
0.00196274,0.0374371,,0.00196274,-1.87102e-05
0.00197274,0.0374362,,0.00197274,-1.85842e-05
0.00198274,0.0374353,,0.00198274,-1.84484e-05
0.00199274,0.0374344,,0.00199274,-1.83012e-05
0.00200274,0.0374335,,0.00200274,-1.81405e-05
0.00201274,0.0374327,,0.00201274,-1.79643e-05
0.00202274,0.0374317,,0.00202274,-1.77699e-05
0.00203274,0.0374309,,0.00203274,-1.75541e-05
0.00204274,0.03743,,0.00204274,-1.73134e-05
0.00205274,0.0374291,,0.00205274,-1.70437e-05
0.00206274,0.0374282,,0.00206274,-1.67401e-05
0.00207274,0.0374273,,0.00207274,-1.6397e-05
0.00208274,0.0374264,,0.00208274,-1.60076e-05
0.00209274,0.0374256,,0.00209274,-1.55645e-05
0.00210274,0.0374246,,0.00210274,-1.50585e-05
0.00211274,0.0374238,,0.00211274,-1.44793e-05
0.00212274,0.0374229,,0.00212274,-1.38147e-05
0.00213274,0.037422,,0.00213274,-1.30505e-05
0.00214274,0.0374211,,0.00214274,-1.21704e-05
